"","label","nodeClass","LDAupper","LDAmean","LDAlower","Sign_group","pvalue","fdr"
"6691","OTU_181","OTU",NA,NA,NA,NA,0.641661624425672,0.850495115245054
"6692","OTU_201","OTU",NA,NA,NA,NA,0.731740155116127,0.90705885088068
"6693","OTU_246","OTU",NA,NA,NA,NA,0.27651137526994,0.621317957838504
"6694","OTU_252","OTU",NA,NA,NA,NA,0.664904594116083,0.850495115245054
"6695","OTU_257","OTU",NA,NA,NA,NA,0.174791844534444,0.621317957838504
"6696","OTU_258","OTU",NA,NA,NA,NA,0.237718045898587,0.621317957838504
"6697","OTU_260","OTU",NA,NA,NA,NA,0.306811190866369,0.621317957838504
"6698","OTU_265","OTU",NA,NA,NA,NA,0.42161609590066,0.67625376324807
"6699","OTU_271","OTU",NA,NA,NA,NA,0.263377078065213,0.621317957838504
"6700","OTU_285","OTU",NA,NA,NA,NA,0.248249010773524,0.621317957838504
"6701","OTU_316","OTU",NA,NA,NA,NA,0.904751629179638,0.939871136370554
"6702","OTU_318","OTU",NA,NA,NA,NA,0.461602796677968,0.709367404590521
"6703","OTU_324","OTU",NA,NA,NA,NA,0.114263780357664,0.621317957838504
"6704","OTU_326","OTU",NA,NA,NA,NA,0.390471139656947,0.655860338635109
"6705","OTU_331","OTU",NA,NA,NA,NA,5.63795838699611e-06,0.000659087712050374
"6706","OTU_333","OTU",NA,NA,NA,NA,0.555319488495512,0.778482649430736
"6707","OTU_345","OTU",NA,NA,NA,NA,0.0915603588052958,0.621317957838504
"6708","OTU_353","OTU",2.87070807088248,2.84570113651759,2.81916583575744,"hypertension",0.000703005093578761,0.0349758800473715
"6709","OTU_375","OTU",NA,NA,NA,NA,0.192341650070601,0.621317957838504
"6710","OTU_383","OTU",NA,NA,NA,NA,0.748826434952294,0.922526815631196
"6711","OTU_385","OTU",NA,NA,NA,NA,0.825796595604084,0.939871136370554
"6712","OTU_389","OTU",NA,NA,NA,NA,0.397747662834917,0.656844105066831
"6713","OTU_390","OTU",NA,NA,NA,NA,0.255240466282019,0.621317957838504
"6714","OTU_394","OTU",NA,NA,NA,NA,0.000104588294335229,0.00778749297140398
"6715","OTU_397","OTU",NA,NA,NA,NA,0.220314212536829,0.621317957838504
"6716","OTU_433","OTU",NA,NA,NA,NA,0.0721222885856219,0.621317957838504
"6717","OTU_434","OTU",NA,NA,NA,NA,0.0131580061465846,0.287923363114314
"6718","OTU_444","OTU",NA,NA,NA,NA,0.557140030128473,0.778482649430736
"6719","OTU_449","OTU",NA,NA,NA,NA,0.1762126378312,0.621317957838504
