species,pathway,cor,p_value,celltype
Bacteroides_BPS,ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE,0.100375767404778,3.77770909805593e-70,classical Monocyte
Bacteroides_BPS,ANDERSEN_CHOLANGIOCARCINOMA_CLASS1,-0.0141731252194075,0.0126351495299951,classical Monocyte
Bacteroides_BPS,ANDERSEN_CHOLANGIOCARCINOMA_CLASS2,0.0171608512339336,0.00253042826388875,classical Monocyte
Bacteroides_BPS,ANDERSEN_LIVER_CANCER_KRT19_DN,-0.0529722127775237,1.08885281605741e-20,classical Monocyte
Bacteroides_BPS,ANDERSEN_LIVER_CANCER_KRT19_UP,0.0521991587983328,3.9021311526292e-20,classical Monocyte
Bacteroides_BPS,APPEL_IMATINIB_RESPONSE,0.0105387491298355,0.0636894863644023,classical Monocyte
Bacteroides_BPS,APPIERTO_RESPONSE_TO_FENRETINIDE_DN,-0.0799073091141904,4.88406050789343e-45,classical Monocyte
Bacteroides_BPS,APPIERTO_RESPONSE_TO_FENRETINIDE_UP,0.0163709620591781,0.0039683297837443,classical Monocyte
Bacteroides_BPS,APRELIKOVA_BRCA1_TARGETS,0.0225996705158874,6.98118295892547e-05,classical Monocyte
Bacteroides_BPS,ARMIGNACCO_SEVERE_COVID19_RISK_EN_NEG,-0.00754284927142527,0.184447394829804,classical Monocyte
Bacteroides_BPS,ARMIGNACCO_SEVERE_COVID19_RISK_EN_POS,-0.0834644126928719,5.45818504375698e-49,classical Monocyte
Bacteroides_BPS,ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN,0.0257130228307762,6.0406481654415e-06,classical Monocyte
Bacteroides_BPS,ASTIER_INTEGRIN_SIGNALING,0.0296762436905146,1.7633915378697e-07,classical Monocyte
Bacteroides_BPS,ASTON_MAJOR_DEPRESSIVE_DISORDER_DN,0.0188607666671669,0.000903882230509357,classical Monocyte
Bacteroides_BPS,ASTON_MAJOR_DEPRESSIVE_DISORDER_UP,0.0581719600197217,1.25858425153099e-24,classical Monocyte
Bacteroides_BPS,AUJLA_IL22_AND_IL17A_SIGNALING,0.0333634418561582,4.3072096311521e-09,classical Monocyte
Bacteroides_BPS,AUNG_GASTRIC_CANCER,0.00400888664507287,0.480581532759866,classical Monocyte
Bacteroides_BPS,AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN,-0.00403564818939038,0.477656817119618,classical Monocyte
Bacteroides_BPS,AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP,0.0447353669678448,3.40354542212777e-15,classical Monocyte
Bacteroides_BPS,AZARE_STAT3_TARGETS,0.0628210832802918,1.86883343585832e-28,classical Monocyte
Bacteroides_BPS,BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN,0.0551889415332998,2.52904656837338e-22,classical Monocyte
Bacteroides_BPS,BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP,-0.0346877162532734,1.02703908919957e-09,classical Monocyte
