species,pathway,cor,pvalue,celltype
Butyricimonas,KEGG_HOMOLOGOUS_RECOMBINATION,-0.028285036074447,0.0160642099737837,Non-classical monocytes
Butyricimonas,KEGG_HUNTINGTONS_DISEASE,-0.166183409242515,5.11110061973801e-46,Non-classical monocytes
Butyricimonas,KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,-0.00932391408943712,0.427513129134817,Non-classical monocytes
Butyricimonas,KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.0700793617583539,2.35969688299152e-09,Non-classical monocytes
Butyricimonas,KEGG_INSULIN_SIGNALING_PATHWAY,0.0305062486158557,0.00941529651279085,Non-classical monocytes
Butyricimonas,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,-0.0719943884113476,8.54446931809309e-10,Non-classical monocytes
Butyricimonas,KEGG_JAK_STAT_SIGNALING_PATHWAY,0.129526435779028,1.77432826054164e-28,Non-classical monocytes
Butyricimonas,KEGG_LEISHMANIA_INFECTION,-0.068746661953664,4.71119183339855e-09,Non-classical monocytes
Butyricimonas,KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,-0.0222837384162367,0.0578919995357569,Non-classical monocytes
Butyricimonas,KEGG_LIMONENE_AND_PINENE_DEGRADATION,-0.00396412801563197,0.735863065715416,Non-classical monocytes
Butyricimonas,KEGG_LINOLEIC_ACID_METABOLISM,0.0299891493971905,0.0106934237436379,Non-classical monocytes
Butyricimonas,KEGG_LONG_TERM_DEPRESSION,0.0362653017796143,0.00202130518311901,Non-classical monocytes
Butyricimonas,KEGG_LONG_TERM_POTENTIATION,0.0423004284103822,0.000316689009428903,Non-classical monocytes
Butyricimonas,KEGG_LYSINE_DEGRADATION,0.0551289152777897,2.66768663912642e-06,Non-classical monocytes
Butyricimonas,KEGG_LYSOSOME,-0.0252063493136791,0.0319268207987372,Non-classical monocytes
Butyricimonas,KEGG_MAPK_SIGNALING_PATHWAY,0.0284331066959788,0.0155178856875648,Non-classical monocytes
Butyricimonas,KEGG_MELANOGENESIS,0.0195664269158388,0.0958721231381865,Non-classical monocytes
Butyricimonas,KEGG_MELANOMA,0.0906060109172974,1.10808579521287e-14,Non-classical monocytes
Butyricimonas,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,-0.0770694068446234,5.0945630667824e-11,Non-classical monocytes
Butyricimonas,KEGG_MISMATCH_REPAIR,-0.00953493278991312,0.417128735400866,Non-classical monocytes
Butyricimonas,KEGG_MTOR_SIGNALING_PATHWAY,0.0684404308975921,5.51248696016565e-09,Non-classical monocytes
Butyricimonas,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,-0.0222091344334986,0.0587360421606528,Non-classical monocytes
Butyricimonas,KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,-0.0650451718736367,3.00719371894436e-08,Non-classical monocytes
Butyricimonas,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.013593639618648,0.247341232113997,Non-classical monocytes
Butyricimonas,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.00365235387383946,0.755948558801201,Non-classical monocytes
Butyricimonas,KEGG_NITROGEN_METABOLISM,0.00927933534746908,0.429725988083544,Non-classical monocytes
Butyricimonas,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.0162159762525845,0.167579957717658,Non-classical monocytes
Butyricimonas,KEGG_NON_HOMOLOGOUS_END_JOINING,0.00936644077653072,0.425408330248635,Non-classical monocytes
Butyricimonas,KEGG_NON_SMALL_CELL_LUNG_CANCER,0.10138963835902,5.13855894196879e-18,Non-classical monocytes
Butyricimonas,KEGG_NOTCH_SIGNALING_PATHWAY,0.0628744475196713,8.52134086940401e-08,Non-classical monocytes
Butyricimonas,KEGG_NUCLEOTIDE_EXCISION_REPAIR,0.0109464940294856,0.351573399417953,Non-classical monocytes
Butyricimonas,KEGG_N_GLYCAN_BIOSYNTHESIS,0.0504277604081739,1.75495742280119e-05,Non-classical monocytes
Butyricimonas,KEGG_ONE_CARBON_POOL_BY_FOLATE,0.0241068332335021,0.0401971336433524,Non-classical monocytes
Butyricimonas,KEGG_OOCYTE_MEIOSIS,-0.0405615670367783,0.000554206522992736,Non-classical monocytes
Butyricimonas,KEGG_OTHER_GLYCAN_DEGRADATION,0.0325880377673353,0.00553919267672,Non-classical monocytes
Butyricimonas,KEGG_OXIDATIVE_PHOSPHORYLATION,-0.191473407021768,8.93022245652002e-61,Non-classical monocytes
Butyricimonas,KEGG_O_GLYCAN_BIOSYNTHESIS,0.0492609347714751,2.73468828266893e-05,Non-classical monocytes
Butyricimonas,KEGG_P53_SIGNALING_PATHWAY,0.0758345043563022,1.02921659599155e-10,Non-classical monocytes
Butyricimonas,KEGG_PANCREATIC_CANCER,0.0228525493279348,0.051782507738554,Non-classical monocytes
Butyricimonas,KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0.0109919810825668,0.349575546349561,Non-classical monocytes
Butyricimonas,KEGG_PARKINSONS_DISEASE,-0.187431580411222,2.87134479567002e-58,Non-classical monocytes
Butyricimonas,KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,-0.0893705171647568,2.52860983379795e-14,Non-classical monocytes
Butyricimonas,KEGG_PATHWAYS_IN_CANCER,0.0293567196949621,0.0124647188175293,Non-classical monocytes
Butyricimonas,KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.00351950412144843,0.764558432963191,Non-classical monocytes
Butyricimonas,KEGG_PENTOSE_PHOSPHATE_PATHWAY,-0.0541237496250185,4.04323751694237e-06,Non-classical monocytes
Butyricimonas,KEGG_PEROXISOME,-0.0621667718053516,1.18802929758789e-07,Non-classical monocytes
Butyricimonas,KEGG_PHENYLALANINE_METABOLISM,-0.0282452216833922,0.0162139639700468,Non-classical monocytes
Butyricimonas,KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.0741439663654864,2.64753026577267e-10,Non-classical monocytes
Butyricimonas,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,-0.00919224442542097,0.43406826337384,Non-classical monocytes
Butyricimonas,KEGG_PPAR_SIGNALING_PATHWAY,-0.00317342503252634,0.787122063599521,Non-classical monocytes
Butyricimonas,KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,-0.00652278264331634,0.578843250902853,Non-classical monocytes
Butyricimonas,KEGG_PRIMARY_IMMUNODEFICIENCY,0.0127616388762871,0.277469502882237,Non-classical monocytes
Butyricimonas,KEGG_PRION_DISEASES,0.0421867767773654,0.00032869546722767,Non-classical monocytes
Butyricimonas,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.0642033572831048,4.52183009738619e-08,Non-classical monocytes
Butyricimonas,KEGG_PROPANOATE_METABOLISM,-0.00310453421594769,0.791635676914862,Non-classical monocytes
Butyricimonas,KEGG_PROSTATE_CANCER,0.0641174028067742,4.71280173505269e-08,Non-classical monocytes
Butyricimonas,KEGG_PROTEASOME,-0.12205711463214,1.89269292880212e-25,Non-classical monocytes
Butyricimonas,KEGG_PROTEIN_EXPORT,-0.0925350042695257,2.98846073017527e-15,Non-classical monocytes
Butyricimonas,KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,-0.0244572200048365,0.0373838239787966,Non-classical monocytes
Butyricimonas,KEGG_PURINE_METABOLISM,0.00817038353008413,0.486875609750022,Non-classical monocytes
Butyricimonas,KEGG_PYRIMIDINE_METABOLISM,-0.00825764191106981,0.482234896958888,Non-classical monocytes
Butyricimonas,KEGG_PYRUVATE_METABOLISM,-0.00036139616027478,0.975465939985257,Non-classical monocytes
Butyricimonas,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,-0.0174555914264647,0.137403033336943,Non-classical monocytes
Butyricimonas,KEGG_REGULATION_OF_AUTOPHAGY,-0.0510194203968271,1.39638333200208e-05,Non-classical monocytes
Butyricimonas,KEGG_RENAL_CELL_CARCINOMA,0.0226483427435328,0.0539107090368022,Non-classical monocytes
Butyricimonas,KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.0322526159940531,0.00604528143683462,Non-classical monocytes
Butyricimonas,KEGG_RETINOL_METABOLISM,-0.00711868034268132,0.544656839990436,Non-classical monocytes
Butyricimonas,KEGG_RIBOFLAVIN_METABOLISM,-0.0146453013774099,0.212640296378685,Non-classical monocytes
Butyricimonas,KEGG_RIBOSOME,-0.225289674837012,5.06180983987438e-84,Non-classical monocytes
Butyricimonas,KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.075707676254108,1.10560896401848e-10,Non-classical monocytes
Butyricimonas,KEGG_RNA_DEGRADATION,0.0312608178007978,0.00779431653016668,Non-classical monocytes
Butyricimonas,KEGG_RNA_POLYMERASE,-0.0226979066320647,0.0533875680482677,Non-classical monocytes
Butyricimonas,KEGG_SELENOAMINO_ACID_METABOLISM,0.0316899296773503,0.00698842189773273,Non-classical monocytes
Butyricimonas,KEGG_SMALL_CELL_LUNG_CANCER,0.0974687233993997,9.24528681199276e-17,Non-classical monocytes
Butyricimonas,KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,-0.00766563098618581,0.514187143019825,Non-classical monocytes
Butyricimonas,KEGG_SPHINGOLIPID_METABOLISM,-0.00902189793340219,0.442634474579617,Non-classical monocytes
Butyricimonas,KEGG_SPLICEOSOME,-0.0871280225230715,1.09866756122435e-13,Non-classical monocytes
Butyricimonas,KEGG_STARCH_AND_SUCROSE_METABOLISM,0.0112312653711471,0.339184824045596,Non-classical monocytes
Butyricimonas,KEGG_STEROID_BIOSYNTHESIS,0.00352397299163184,0.764268329321776,Non-classical monocytes
Butyricimonas,KEGG_STEROID_HORMONE_BIOSYNTHESIS,0.0195050633385771,0.0969184060819154,Non-classical monocytes
Butyricimonas,KEGG_SULFUR_METABOLISM,0.0328344919697723,0.00519205221911591,Non-classical monocytes
Butyricimonas,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,-0.0868033326128668,1.3549386135925e-13,Non-classical monocytes
Butyricimonas,KEGG_TASTE_TRANSDUCTION,0.0156152067899315,0.183884817177576,Non-classical monocytes
Butyricimonas,KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0.0339447602161293,0.00385940916897708,Non-classical monocytes
Butyricimonas,KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0.0108568496687856,0.355531821316896,Non-classical monocytes
Butyricimonas,KEGG_TGF_BETA_SIGNALING_PATHWAY,0.0117714702986482,0.316463600425079,Non-classical monocytes
Butyricimonas,KEGG_THYROID_CANCER,0.0320581840092016,0.00635735848317559,Non-classical monocytes
Butyricimonas,KEGG_TIGHT_JUNCTION,-0.0253715450685197,0.0308199200502123,Non-classical monocytes
Butyricimonas,KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.0449329846362999,0.000130456900022525,Non-classical monocytes
Butyricimonas,KEGG_TRYPTOPHAN_METABOLISM,-0.00234987690265305,0.841505796231508,Non-classical monocytes
Butyricimonas,KEGG_TYPE_II_DIABETES_MELLITUS,0.0470233721057977,6.23428757808694e-05,Non-classical monocytes
Butyricimonas,KEGG_TYPE_I_DIABETES_MELLITUS,-0.0977349222190198,7.62546107585802e-17,Non-classical monocytes
Butyricimonas,KEGG_TYROSINE_METABOLISM,-0.000244130762235743,0.983425302754513,Non-classical monocytes
Butyricimonas,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.0533606415721503,5.51788231153942e-06,Non-classical monocytes
Butyricimonas,KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.0565472484946194,1.46571054970305e-06,Non-classical monocytes
Butyricimonas,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,0.0127301481828194,0.278656934040965,Non-classical monocytes
Butyricimonas,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.0107986627829492,0.35811616156855,Non-classical monocytes
Butyricimonas,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.00321209230754451,0.784591765808699,Non-classical monocytes
Butyricimonas,KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,-0.0495551053228103,2.44754193138115e-05,Non-classical monocytes
Butyricimonas,KEGG_VEGF_SIGNALING_PATHWAY,0.0268842262678984,0.0221270034887113,Non-classical monocytes
Butyricimonas,KEGG_VIBRIO_CHOLERAE_INFECTION,-0.0701786348952173,2.24009962278225e-09,Non-classical monocytes
Butyricimonas,KEGG_VIRAL_MYOCARDITIS,-0.0923631305545134,3.36230258413661e-15,Non-classical monocytes
Butyricimonas,KEGG_WNT_SIGNALING_PATHWAY,0.0694370308927829,3.29816239959655e-09,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,-0.148791624037189,3.89371886285757e-37,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,-0.00606916958715416,0.605524160122267,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS,-0.0620840593023319,1.23479276883166e-07,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY,0.0302004267312567,0.0101536549063517,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY,0.0114389624321456,0.33032807317279,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT,-0.0830988443680078,1.40338839565557e-12,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_METALS_TO_JNK_SIGNALING_PATHWAY,0.00277964124698765,0.813013984101175,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY,-0.01452704307927,0.216357079302335,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY,0.0203346234488891,0.083524122840119,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY,0.00982920976590291,0.402898137305319,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_NICOTINE_NNK_TO_PI3K_SIGNALING_PATHWAY,0.0403283358494194,0.000596464197164225,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_NICOTINE_TO_JAK_STAT_SIGNALING_PATHWAY,0.0353064841649936,0.00265220493300415,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_CHRNA7_E2F_SIGNALING_PATHWAY,0.0348594743565037,0.00300389939503696,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01339,0.0715947936002973,1.05848706425831e-09,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01350,0.0606948587857233,2.34448842787377e-07,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY,0.0144425219018878,0.219042024837673,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_PARAQUAT_TO_FAS_JNK_SIGNALING_PATHWAY,-0.00378194993481878,0.747578638630975,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_PHIP_TO_DNA_ADDUCTS,0.0205252878473229,0.0806677859339283,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY,-0.0629799063723598,8.10716081228788e-08,Non-classical monocytes
Butyricimonas,KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT,-0.0825958178197942,1.91291898310471e-12,Non-classical monocytes
