""	Acidaminococcus	Akkermansia	Alistipes	Bacteroides	Bifidobacterium	Butyricimonas	Collinsella	Desulfovibrio	Eubacterium	Holdemania	Klebsiella	Lachnospira	Lactobacillus	Methanobrevibacter	Odoribacter	Oscillospira	Parabacteroides	Phascolarctobacterium	Prevotella	Proteus	Sutterella	Turicibacter	missing	ncells
IgG PB	0.0137516890717436	0.00447879855986796	0.0185826609794954	0.0183734730337996	0.00903196162066245	0.0117665196506682	0.0136764176866594	0.00607854221394607	0.00689624942941872	0.00229623068714613	0.000473695825007633	0.00496065634229436	0.0108590309035891	0.0111661623383101	0.00966526905741484	0.0151262231600076	0.0177900442257174	0.0110186425153339	0.015902515998948	0.0139932225523952	0.0207020492559016	0.147807305254185	0	319
Neutrophil	0.148954837978804	0.139744622481191	0.0399255815597982	0.0632821735870458	0.0656593641745761	0.00962439288332852	0.211027635246459	0.0989507656554226	0.0237017157965649	0.305751157861203	0.0329222857288201	0.189367943842886	0.115697800954394	0.250220018206848	0.0634447959360107	0.0316743238071633	0.19043728274741	0.115054455036093	0.0400278451312104	0.215760261285319	0.117379061691595	0.0483569595735993	0	26083
Class-switched B	0.0159799934767234	0.0187913765266468	0.0110814331408221	0.0198607327904502	0.0107213645447031	0.00044483050669314	0.00545392037398311	0.00688198904333639	0.0046476650806018	0.00533118512747174	0	0.0209009309570162	0.00764281195264996	0.0191792470294341	3.79733359372192e-05	0.00274153923561031	0.00768621005086393	0.00812493769999573	0.00455205364547416	0.00678637760820875	0.00505045367965016	0.0659895207154719	0	141
CD4m T	0.062137877797747	0.02709381878293	0.0847931670170993	0.0508183763281878	0.0146007612725581	0.0102230091456717	0.0487639175980846	0.0163697289130148	0.076957930132228	0.0280203600711488	0.0271436399947366	0.047274019070864	0.023419448890784	0.0444167207537735	0.0646016033472748	0.0871082802594923	0.027374090860047	0.0238916954961588	0.026998562550698	0.016218766199528	0.0273964104668222	0.00752951749488879	0	8855
pDC	0.00266325472817286	8.43961139570472e-05	0.000269339619744323	0.0168505599602542	0.00182190964065227	0.0115091503813635	0.00236365989776469	0.0141898075427378	0.00648519303165628	0.00100399528018714	0.134415825340536	0.0473495184303142	0.274626319712953	0.00785896158202449	0.00792766138368225	0.00473573665864638	0.00729673787408691	0.0371739858874229	0.034417918182176	0.0107582297016541	0.00178107648039542	0.316356217115941	0	871
SC & Eosinophil	0.07556691201992	0.0296195621065669	0.119974797983191	0.1099608202379	0.028023817967693	0.29265865993574	0.108949155374617	0.0268678264860802	0.0539956566558456	0.0625958568790604	0.0148506576121293	0.0501241910172383	0.0853187883109105	0.0665916304106973	0.0419558318592499	0.0606153216730452	0.018918174898808	0.0706367315199445	0.0620246639086777	0.0536585149498222	0.0916613078616831	0.0806799581812425	0	1726
Activated Granulocyte	0.00399641618443719	0.00389869255388424	0.00655367179454022	0.0192828674219158	0.00763537447639808	0.00246461213047675	0.0166644652679318	0.00165391240896139	5.87450179883526e-05	0.00144211629850967	0.000103912178045435	0.00840423222755382	0.00231220760267678	0.00459347246789114	0.00352396214825728	0.00527504398948871	0.0169282636505965	0.00713622655625805	0.0127529337871602	0.00707609604256243	0.000900941675249043	0.00228181906349727	0	1084
Platelet	0.0127072939789278	0.00749507586077527	0.02042959485835	0.0201145584162105	0.0218476576282844	0.00782710034397194	0.01092921234828	0.00580488540968137	0.14133372233023	0.0073931476144324	0.00800463733642829	0.0223020279095171	0.00534477269203505	0.0139514087791644	0.021995844390182	0.0140300482556073	0.00649517412024279	0.00587419342695206	0.00491161752310852	0.00383283703794921	0.00886991084548444	0.00554200943163279	0	1267
CD4 T	0.00165361813143645	0.00411700200446119	0.0306197867173477	0.00234491198578005	0.00673710132131488	0	0.000663026877737844	0.00564757564949614	0.0202545358105181	0.00176169774787021	0.0532267169486298	0.00305532761841577	0.00718438465701765	0.00230708412002823	0.00763042092022311	0.0555437776486365	0.00359946691807648	0	0.00283085456889951	0.00507891059072161	0.00255026325700418	0	0	231
RBC	0.0137175074646628	0.0141444496230245	0.0224125674784735	0.0112744579844174	0.010622593900354	0.00691327796179179	0.0100758349373366	0.00761094543193882	0.0270855745268867	0.00899156868862327	0.0177477504394926	0.0119555937688588	0.00566672819284864	0.0122942658255628	0.0140018827921684	0.0503990430428979	0.00784951737336084	0.00631935061111879	0.0094765992472168	0.0152573809047503	0.0114543348582423	0.00944550754474286	0	646
